,Artist,Track,ID,energy,acousticness,valence,danceability,tempo
120,Sonic Youth,I Dreamed I Dream,3ZSBXMcdSXbTnsivHfkb1e,0.534,0.2,0.437,0.683,126.608
121,Talking Heads,Listening Wind,438kAOxGJQtpEkVMom9WXJ,0.788,0.501,0.942,0.725,144.418
122,The Cure,Last Dance,4muRKfZjpRvjoi4eAOAYot,0.785,0.444,0.446,0.322,184.01
123,The Smashing Pumpkins,Soma,1EGa3uFmvkGChrZeIKxGwB,0.281,0.0241,0.0981,0.291,134.683
124,Camel,Stationary Traveller,,,,,,
125,Coldplay,High Speed,2DHgvPQD1jApRnT1DBZdrS,0.525,0.396,0.249,0.495,154.466
126,Coldplay,Spies,2mLgOcRkEgq89j8WstUpui,0.673,0.0236,0.0732,0.309,147.599
127,Echo & the Bunnymen,No Dark Things,34x6aWpmE2Xmsri60IsdMS,0.707,1.33e-05,0.746,0.324,135.77
128,Halsey,Haunting,1r1WtSrPbAOYHE7zwq4eqK,0.696,0.015,0.311,0.461,180.006
129,New Order,Doubts Even Here - 2015 Remaster,0055LRFB7zfdCXDGodyIz3,0.545,0.00677,0.424,0.509,100.028
130,Pixies,No. 13 Baby,4NXzNzXDkMEWtvn3foSIrJ,0.633,0.00289,0.302,0.688,122.465
131,Slowdive,Melon Yellow,6HDbazzz9BHKufmSfuLTVE,0.379,0.438,0.31,0.397,128.348
132,Slowdive,Slowdive,7fgHvYrA6d92B3ClbjZinS,0.691,0.034,0.0915,0.132,98.554
133,Slowdive,Summer Daze,,,,,,
134,The Cure,The Figurehead,4MLYH01rrqDifXe06KAkfz,0.842,0.00125,0.727,0.655,110.37
135,The Growlers,Going Gets Tough,53CKX8ycrYqHTppfBpsfsY,0.769,0.227,0.735,0.502,162.053
136,The Stranglers,Golden Brown,2AX5E86cn9n2dgioZEjirI,0.383,0.143,0.599,0.562,93.764
137,The Velvet Underground,Oh! Sweet Nuthin',0i19MAZbyn8uTir7FprXId,0.467,0.303,0.525,0.399,75.601
138,Billy Joel,Movin' Out (Anthony's Song),16GUMo6u3D2qo9a19AkYct,0.88,0.465,0.895,0.664,133.898
139,Blondie,Atomic,5QIbR39hAEDIOkr4ggh4xc,0.824,0.0504,0.786,0.596,135.171
140,Caribou,Odessa,3D1P3oPecqAQy2u33gAhsM,0.915,0.00334,0.606,0.681,118.029
141,Easy Life,Pockets,0Lcgf6yhcC1d2mkafHogkx,0.595,0.267,0.491,0.632,92.914
142,Joy Division,Atrocity Exhibition,6oFnxJJDkrLPvF2X6cEI5D,0.767,0.00645,0.787,0.565,126.435
143,Joy Division,Colony,7CSrmKCRz7g9Z4GdKg3Asn,0.88,0.00559,0.808,0.6,137.612
144,Judas Priest,Dreamer Deceiver,7MTUIFUcXF0tyXh0vvtMBK,0.291,0.00464,0.183,0.328,105.91
145,Placebo,I Know,1N8UZjYJarJpclLKBdaGwd,0.625,0.000918,0.148,0.348,97.035
146,Poets of the Fall,King of Fools,5dop20fnhXVISeTSvjVaSI,0.466,0.265,0.176,0.59,126.025
147,Styx,Snowblind,7rcKKQTJLSno5RRDXbskGN,0.368,0.0819,0.181,0.246,71.376
148,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,4fUKE8EULjQdHF4zb0M8FO,0.673,0.0857,0.583,0.451,95.513
149,The Cure,Kyoto Song,0PrFh7l904QwtisfTgwMHm,0.741,0.173,0.682,0.701,112.676
150,The Cure,The Same Deep Water as You,05d90KDSSlsK7I0ihRJRv1,0.805,0.529,0.174,0.325,199.891
151,çè²,ç¥å·±ç¥å½¼,5yeHtAPGAFsfN9baoglUlc,0.531,0.0161,0.239,0.602,80.014
152,Arctic Monkeys,When the Sun Goes Down,0ZRrJTPXDToRJ2iLo9oLrW,0.875,0.0341,0.407,0.348,169.152
