,Artist,Track,ID,energy,acousticness,valence,danceability,tempo,Genre
227,Ariana Grande,breathin,4OafepJy2teCjYJbvFE60J,0.6559999999999999,0.0211,0.364,0.568,100.04899999999999,pop
228,Barrie,Canyons,7K437a0HWYZhSoDmAsE10T,0.696,0.40399999999999997,0.68,0.642,99.99600000000001,indie pop
229,Coldplay,We Never Change,5TB6QgrF0RPIxSCGfRDLoe,0.28800000000000003,0.535,0.131,0.433,136.939,rock
230,Depeche Mode,Strangelove,6MHOg9xiYC2gj8zcASaLUo,0.96,0.0441,0.888,0.565,118.999,80s
231,Depeche Mode,The Love Thieves,418uEYwiMD2GeWyRMtZpC0,0.562,0.659,0.633,0.7040000000000001,97.01799999999999,electronic
232,Echo & the Bunnymen,Over the Wall,1hQ5YuTPXIho0kZGsFXpFC,0.875,0.000264,0.63,0.498,133.089,post-punk
234,Joy Division,Twenty Four Hours,36HznXQNGoen7dwq4Vv6nP,0.879,0.0066,0.647,0.363,131.73,post-punk
235,Joy Division,Twenty Four Hours - 2007 Remaster,36HznXQNGoen7dwq4Vv6nP,0.879,0.0066,0.647,0.363,131.73,post-punk
236,Linkin Park,Lying from You,3BmjRmFTESgWZLPSVGp8aG,0.951,0.00777,0.723,0.535,160.102,Nu Metal
238,Oasis,Whatever,5OWsea313ovaQoXvsgWq79,0.902,0.0421,0.306,0.252,91.47399999999999,britpop
239,Peach Pit,Peach Pit,0ZK8TGOsngrstVPsnrHbK1,0.804,0.00322,0.298,0.515,123.969,played
240,Placebo,Hang on to Your IQ,3jSdWMRTl0WNEkRjkWlRwq,0.884,0.000917,0.742,0.489,81.37100000000001,alternative rock
241,Poets of the Fall,Shallow,2Y4OxR3bgSPXDNrdHu13We,0.675,0.0192,0.7170000000000001,0.585,108.00299999999999,rock
242,Radiohead,Fake Plastic Trees,73CKjW3vsUXRpy3NnX4H7F,0.22899999999999998,0.16699999999999998,0.135,0.46299999999999997,73.543,alternative
243,Radiohead,High and Dry,2a1iMaoWQ5MnvLFBDv4qkf,0.38299999999999995,0.0724,0.35,0.419,87.568,alternative
244,Radiohead,No Surprises,10nyNJ6zNy2YVYLrcwLccB,0.39299999999999996,0.0577,0.11800000000000001,0.255,76.426,alternative
245,Slowdive,40 Days,3jQBAyQVJSl9fc6l4tsWWP,0.846,0.133,0.256,0.11,184.96900000000002,shoegaze
246,Stereophonics,Maybe Tomorrow,6SXy02aTZU3ysoGUixYCz0,0.653,0.217,0.5710000000000001,0.495,80.89699999999999,rock
247,Styx,Castle Walls,0aNR6X577yLyosQc7OMjR8,0.26899999999999996,0.253,0.174,0.287,126.663,classic rock
